playerId,season,팀명,AVG,G,AB,R,H,2B,3B,HR,RBI,SB,BB,HBP,SO,SLG,OBP,PA,TB,CS,SAC,SF,ERA,CG,SHO,W,L,SV,HLD,WPCT,TBF,NP,IP,ER
50812,2025,SSG,,51,,,44,3,0,5,,,,,,,,,,,,,3.31,0,0,6,2,0,3,0.75,228,912,51 2/3,
51860,2025,SSG,0.321,61,84,29,27,4,2,1,19,8,19,2,14,0.452,0.444,,,,,,,,,,,,,,,,,
60841,2025,SSG,,5,,,15,1,0,4,,,,,,,,,,,,,7.11,0,0,0,2,0,0,0,90,370,19,
54805,2025,SSG,0.15,31,60,3,9,0,0,0,4,0,,,,,,68,9,1,3,1,,,,,,,,,,,,
69839,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54814,2025,SSG,0.286,13,21,5,6,0,0,0,4,1,4,2,7,0.286,0.429,,,,,,,,,,,,,,,,,
61895,2025,SSG,,2,,,1,0,0,0,,,,,,,,,,,,,6.75,0,0,0,0,0,0,-,7,27,1 1/3,
52804,2025,SSG,0.265,27,49,3,13,1,0,2,4,0,,,,,,54,20,0,0,0,,,,,,,,,,,,
53898,2025,SSG,,20,,,70,5,0,8,,,,,,,,,,,,,5.86,0,0,2,4,0,0,0.333,265,990,58 1/3,
66662,2025,SSG,0.182,29,33,1,6,1,0,1,3,0,,,,,,39,10,0,0,0,,,,,,,,,,,,
55860,2025,SSG,0.288,21,,57,80,,,12,,,43,10,73,,,,,,,,6.94,,,3,5,0,0,0.375,,,70,54
52873,2025,상무,0.316,14,,19,25,,,3,,,9,2,15,,,,,,,,8.2,,,0,0,0,5,-,,,18 2/3,17
66864,2025,SSG,0.261,98,249,37,65,7,2,5,14,16,,,,,,280,91,5,9,2,,,,,,,,,,,,
53897,2025,SSG,0.284,18,,20,21,,,5,,,15,3,13,,,,,,,,8.38,,,0,2,0,1,0,,,19 1/3,18
54833,2025,SSG,,29,,,120,17,1,13,,,,,,,,,,,,,2.28,0,0,11,7,0,0,0.611,672,2702,165 2/3,
53827,2025,SSG,0.343,93,362,43,124,18,0,13,54,1,,,,,,402,181,2,0,2,,,,,,,,,,,,
60558,2025,SSG,0.201,120,194,31,39,6,0,5,26,25,,,,,,229,60,7,3,1,,,,,,,,,,,,
52867,2025,SSG,0.545,3,,9,6,,,0,,,5,1,0,,,,,,,,40.5,,,0,1,0,0,0,,,2,9
64861,2025,SSG,0.325,40,,48,67,,,8,,,38,4,40,,,,,,,,8.05,,,2,2,0,4,0.5,,,50 1/3,45
55896,2025,SSG,0.302,17,,40,45,,,7,,,26,2,31,,,,,,,,8.76,,,1,3,0,1,0.25,,,37,36
53892,2025,SSG,,73,,,54,4,1,7,,,,,,,,,,,,,1.92,0,0,6,5,1,31,0.545,297,1232,75,
54806,2025,SSG,0.27,52,111,16,30,4,1,1,20,3,8,4,32,0.351,0.339,,,,,,,,,,,,,,,,,
53809,2025,SSG,0.364,3,,3,4,,,0,,,5,1,0,,,,,,,,8.1,,,0,1,0,0,0,,,3 1/3,3
55893,2025,SSG,0.182,45,77,10,14,6,0,1,5,0,12,5,23,0.299,0.326,,,,,,,,,,,,,,,,,
55832,2025,SSG,0.167,5,6,1,1,0,0,1,3,0,,,,,,6,4,0,0,0,,,,,,,,,,,,
67807,2025,SSG,0,3,3,0,0,0,0,0,0,0,,,,,,3,0,0,0,0,,,,,,,,,,,,
79456,2025,SSG,0.231,74,195,13,45,6,1,3,18,2,,,,,,213,62,1,3,2,,,,,,,,,,,,
52807,2025,SSG,-,1,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,,,,,,,,,,,,
52802,2025,SSG,0.324,10,,15,11,,,2,,,23,0,6,,,,,,,,14.46,,,0,0,0,0,-,,,9 1/3,15
51895,2025,SSG,0.261,17,,12,23,,,1,,,10,3,15,,,,,,,,3.52,,,3,1,0,2,0.75,,,23,9
